	name	count
12	SPARE TIME REVIEWS	7
17	THOMAS CURRY JR	6
20	CHRIS ST PETE	3
23	TAMPA BAY LOCAL	3
9	DALE CHANNING EDDY	2
3	CINDY LOU GILDIG	2
4	SF TOUR GUIDE	1
15	MICHAEL SEAN FISHER	1
22	LUIS FERNANDO OLIVEIRA	1
21	WEI LUN LIN	1
2	TARA VEDIC ASTROLOGER	1
19	WII FIT MII	1
18	ENCHANTED TIKI ROOM	1
16	CHARLES JOHN GERVASI	1
14	ZENG SHENG LIU	1
5	DE LA GARZA	1
13	VERIFIED AMAZON CUSTOMER	1
1	CUI HUA CHUNG	1
11	MR FRED CUNHA	1
10	FRED CUNHA JR	1
8	JOSEPH PLUMB MARTIN	1
7	JAVIER DE LA	1
6	DIRECTOR FINANCIAL AFFAIRS	1
0	DAVID RUSKIN MD	1
