	name	count
9375	WASTE MONEY	118
9713	CUSTOMER SERVICE	117
11350	DON'T BUY	114
3378	TECH SUPPORT	113
7768	DOESN'T WORK	89
5004	DIDN'T WORK	86
8273	STOPPED WORKING	74
12206	CUSTOMER SUPPORT	72
13360	RANGE EXTENDER	65
1325	BUYER BEWARE	62
5398	DON'T WASTE	61
680	WORKS GREAT	60
4154	WASTE TIME	56
7119	WORKED FINE	53
5683	WORKED GREAT	52
13126	STAY AWAY	51
12338	WORKS WELL	48
7204	WORKS FINE	46
3135	NETGEAR SUPPORT	43
9341	GET WORK	40
911	WORTH MONEY	38
1527	MUCH BETTER	32
8588	WINDOWS 10	31
1850	PARENTAL CONTROLS	31
1152	WIFI RANGE	30
9182	NETGEAR ROUTER	30
3953	BUY ROUTER	29
43	PIECE JUNK	29
5957	DROPS CONNECTION	29
11164	TECHNICAL SUPPORT	28
1171	INTERNET CONNECTION	27
13367	EASY SET	27
594	WOULD RECOMMEND	27
365	SAVE MONEY	26
12888	WORST ROUTER	26
13128	GREAT PRODUCT	26
11369	TIME MONEY	26
9315	EASY SETUP	25
4157	GREAT ROUTER	25
13759	BUY NETGEAR	25
7958	COULD GET	24
3199	SIGNAL STRENGTH	24
8622	POOR PERFORMANCE	24
7715	WORK WELL	24
566	DON'T BOTHER	23
12912	SOMETHING ELSE	23
6510	WIRELESS ROUTER	23
12915	POOR RANGE	22
2478	WEAK SIGNAL	22
1965	POOR CUSTOMER	22
12307	POOR QUALITY	22
9518	WORST CUSTOMER	22
755	NETGEAR PRODUCT	21
9003	NETGEAR CUSTOMER	21
6271	DUAL BAND	21
2130	ACCESS POINT	21
4254	COULDN'T GET	20
12509	GET BETTER	20
1374	TERRIBLE PRODUCT	20
9522	BUY PRODUCT	20
1089	WORKING MONTHS	20
10277	KEEPS DROPPING	19
10858	POOR SUPPORT	19
11568	TERRIBLE CUSTOMER	19
8998	NEVER WORKED	19
12093	BUY SOMETHING	19
11014	NETGEAR NIGHTHAWK	19
12857	ROUTER WORKS	19
7122	WOULD WORK	19
5294	GET PAY	18
12640	WOULD BUY	18
13712	WORKED WELL	18
4219	WIFI ROUTER	17
4028	PIECE GARBAGE	17
